,State,Senator,party,Born,assumed_office,term_up,st,population,Religion,gender,color,race
56,New Hampshire,Jeanne Shaheen,Democratic,(age 74),"January 3, 2009",2026,NH,1359711,Protestant,2,blue,1
57,New Hampshire,Maggie Hassan,Democratic,(age 62),"January 3, 2017",2022,NH,1359711,Congregationalist,2,blue,1
58,New Jersey,Bob Menendez,Democratic,(age 67),"January 17, 2006",2024,NJ,8882190,Catholic,1,blue,1
59,New Jersey,Cory Booker,Democratic,(age 51),"October 31, 2013",2026,NJ,8882190,Baptist,1,blue,2
60,New Mexico,Martin Heinrich,Democratic,(age 49),"January 3, 2013",2024,NM,2096829,Lutheran,1,blue,1
61,New Mexico,Ben Ray Luján,Democratic,(age 48),"January 3, 2021",2026,NM,2096829,Catholic,1,blue,1
62,New York,Chuck Schumer,Democratic,(age 70),"January 3, 1999",2022,NY,19453561,Jewish,1,blue,1
63,New York,Kirsten Gillibrand,Democratic,(age 54),"January 26, 2009",2024,NY,19453561,Catholic,2,blue,1
64,North Carolina,Richard Burr,Republican,(age 65),"January 3, 2005",2022,NC,10488084,Methodist,1,red,1
65,North Carolina,Thom Tillis,Republican,(age 60),"January 3, 2015",2026,NC,10488084,Catholic,1,red,1
66,North Dakota,John Hoeven,Republican,(age 63),"January 3, 2011",2022,ND,762062,Catholic,1,red,1
67,North Dakota,Kevin Cramer,Republican,(age 60),"January 3, 2019",2024,ND,762062,Evangelical,1,red,1
68,Ohio,Sherrod Brown,Democratic,(age 68),"January 3, 2007",2024,OH,11689100,Lutheran,1,blue,1
69,Ohio,Rob Portman,Republican,(age 65),"January 3, 2011",2022,OH,11689100,Methodist,1,red,1
70,Oklahoma,Jim Inhofe,Republican,(age 86),"November 16, 1994",2026,OK,3956971,Presbyterian,1,red,1
71,Oklahoma,James Lankford,Republican,(age 52),"January 3, 2015",2022,OK,3956971,Baptist,1,red,1
72,Oregon,Ron Wyden,Democratic,(age 71),"February 5, 1996",2022,OR,4217737,Jewish,1,blue,1
73,Oregon,Jeff Merkley,Democratic,(age 64),"January 3, 2009",2026,OR,4217737,Lutheran,1,blue,1
74,Pennsylvania,Bob Casey Jr.,Democratic,(age 60),"January 3, 2007",2024,PA,12801989,Catholic,1,blue,1
75,Pennsylvania,Pat Toomey,Republican,(age 59),"January 3, 2011",2022,PA,12801989,Catholic,1,red,1
76,Rhode Island,Jack Reed,Democratic,(age 71),"January 3, 1997",2026,RI,1059361,Catholic,1,blue,1
77,Rhode Island,Sheldon Whitehouse,Democratic,(age 65),"January 3, 2007",2024,RI,1059361,Episcopalian,1,blue,1
78,South Carolina,Lindsey Graham,Republican,(age 65),"January 3, 2003",2026,SC,5148714,Baptist,1,red,1
79,South Carolina,Tim Scott,Republican,(age 55),"January 3, 2013",2022,SC,5148714,Evangelical,1,red,2
80,South Dakota,John Thune,Republican,(age 60),"January 3, 2005",2022,SD,884659,Evangelical,1,red,1
81,South Dakota,Mike Rounds,Republican,(age 66),"January 3, 2015",2026,SD,884659,Catholic,1,red,1
82,Tennessee,Marsha Blackburn,Republican,(age 68),"January 3, 2019",2024,TN,6829174,Presbyterian,2,red,1
83,Tennessee,Bill Hagerty,Republican,(age 61),"January 3, 2021",2026,TN,6829174,Episcopalian,1,red,1
84,Texas,John Cornyn,Republican,(age 69),"December 2, 2002",2026,TX,28995881,Restorationist,1,red,1
85,Texas,Ted Cruz,Republican,(age 50),"January 3, 2013",2024,TX,28995881,Baptist,1,red,1
86,Utah,Mike Lee,Republican,(age 49),"January 3, 2011",2022,UT,3205958,Latter-day Saint,1,red,1
87,Utah,Mitt Romney,Republican,(age 73),"January 3, 2019",2024,UT,3205958,Latter-day Saint,1,red,1
88,Vermont,Patrick Leahy,Democratic,(age 80),"January 3, 1975",2022,VT,623989,Catholic,1,blue,1
89,Vermont,Bernie Sanders,Independent,(age 79),"January 3, 2007",2024,VT,623989,Jewish,1,gray,1
90,Virginia,Mark Warner,Democratic,(age 66),"January 3, 2009",2026,VA,8535519,Presbyterian,1,blue,1
91,Virginia,Tim Kaine,Democratic,(age 62),"January 3, 2013",2024,VA,8535519,Catholic,1,blue,1
92,Washington,Patty Murray,Democratic,(age 70),"January 3, 1993",2022,WA,7614893,Catholic,2,blue,1
93,Washington,Maria Cantwell,Democratic,(age 62),"January 3, 2001",2024,WA,7614893,Catholic,2,blue,1
94,West Virginia,Joe Manchin,Democratic,(age 73),"November 15, 2010",2024,WV,1792147,Catholic,1,blue,1
95,West Virginia,Shelley Moore Capito,Republican,(age 67),"January 3, 2015",2026,WV,1792147,Presbyterian,2,red,1
96,Wisconsin,Ron Johnson,Republican,(age 65),"January 3, 2011",2022,WI,5822434,Lutheran,1,red,1
97,Wisconsin,Tammy Baldwin,Democratic,(age 59),"January 3, 2013",2024,WI,5822434,Unknown,2,blue,1
98,Wyoming,John Barrasso,Republican,(age 68),"June 25, 2007",2024,WY,578759,Presbyterian,1,red,1
99,Wyoming,Cynthia Lummis,Republican,(age 66),"January 3, 2021",2026,WY,578759,Lutheran,2,red,1
