key,st,state,senator,party,born,assumed office,term up,population
81,st42,South Dakota,Mike Rounds,Republican,66,2015-01-03,2026,884659
82,st43,Tennessee,Marsha Blackburn,Republican,68,2019-01-03,2024,6829174
83,st43,Tennessee,Bill Hagerty,Republican,61,2021-01-03,2026,6829174
84,st44,Texas,John Cornyn,Republican,68,2002-12-02,2026,28995881
85,st44,Texas,Ted Cruz,Republican,50,2013-01-03,2024,28995881
86,st45,Utah,Mike Lee,Republican,49,2011-01-03,2022,3205958
87,st45,Utah,Mitt Romney,Republican,73,2019-01-03,2024,3205958
88,st46,Vermont,Patrick Leahy,Democratic,80,1975-01-03,2022,623989
89,st46,Vermont,Bernie Sanders,Independent,79,2007-01-03,2024,623989
90,st47,Virginia,Mark Warner,Democratic,66,2009-01-03,2026,8535519
91,st47,Virginia,Tim Kaine,Democratic,62,2013-01-03,2024,8535519
92,st48,Washington,Patty Murray,Democratic,70,1993-01-03,2022,7614893
93,st48,Washington,Maria Cantwell,Democratic,62,2001-01-03,2024,7614893
94,st49,West Virginia,Joe Manchin,Democratic,73,2010-11-15,2024,1792147
95,st49,West Virginia,Shelley Moore Capito,Republican,67,2015-01-03,2026,1792147
96,st50,Wisconsin,Ron Johnson,Republican,65,2011-01-03,2022,5822434
97,st50,Wisconsin,Tammy Baldwin,Democratic,58,2013-01-03,2024,5822434
98,st51,Wyoming,John Barrasso,Republican,68,2007-06-25,2024,578759
99,st51,Wyoming,Cynthia Lummis,Republican,66,2021-01-03,2026,578759
