key,st,state,baptist family (et),methodist family (et),non-denominational family (et),lutheran family (et),presbyterian (et),pentecostal family (et),episcopalian/anglican family (et),restorationist family (et),congregationalist family (et),holiness family (et),reformed family (et),adventist family (et),anabaptist family (et),pietist family (et),other evangelical,nonspecific protestant family (et),baptist family (mt),methodist family (mt),non-denominational family (mt),lutheran family (mt),presbyterian family (mt),episcopalian/anglican family (mt),restorationist family (mt),congregationalist family (mt),reformed family (mt),anabaptist family (mt),friends family (mt),nonspecific protestant family (mt),baptist family (hbpt),methodist family (hbpt),pentecostal family (hbpt),holiness family (hbpt),non-denominational family (hbpt),nonspecific protestant (hbpt),catholic,mormon-lds,other mormom,greek orthodox,russian orthodox,orthodox church in america,other orthodox christian,jehovah's witness,other christian,jewish,muslim,buddhist,hindu,other world religions,unitarians,new age,native american religions,atheist,agnostic,nothing in particular
28,st36,Ohio,29,7,6,1,1,4,0,3,0,2,0,0,1,0,0,2,3,6,1,2,2,0,0,1,0,0,0,2,5,0,1,0,0,0,18,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2,3,17
29,st18,Kentucky,29,0,5,1,1,7,0,3,0,1,0,0,0,0,0,3,3,4,0,0,1,1,1,0,0,0,0,1,5,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,14
30,st43,Tennessee,33,0,4,0,2,4,0,6,0,0,0,1,0,0,0,1,3,6,1,0,1,1,0,0,0,0,0,1,6,1,2,0,0,0,6,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,3,11
31,st25,Mississippi,26,1,5,0,1,4,0,2,0,1,0,0,0,0,0,1,3,5,1,0,1,1,0,0,0,0,0,1,19,1,2,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,11
32,st1,Alabama,31,1,5,1,2,5,0,3,0,2,0,0,0,0,0,1,2,5,1,1,1,1,0,1,0,0,0,1,11,3,1,1,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
33,st10,Florida,8,0,5,1,1,4,0,2,0,1,0,1,0,0,0,1,2,4,2,2,1,1,0,1,0,0,0,2,4,0,2,0,1,1,21,1,0,0,0,0,0,1,1,3,0,0,0,0,1,1,0,3,4,17
34,st11,Georgia,21,0,6,0,1,4,0,2,0,1,0,1,0,0,0,1,2,5,1,0,1,1,0,0,0,0,0,1,11,2,2,0,1,1,9,1,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,2,2,13
35,st41,South Carolina,22,0,5,0,1,4,0,1,0,1,0,1,0,0,0,0,3,6,1,2,2,2,0,0,0,0,0,1,9,3,2,1,1,0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,3,14
36,st34,North Carolina,20,0,5,0,1,4,0,1,0,0,0,0,0,0,0,1,4,6,1,1,2,1,0,1,0,0,0,2,7,2,2,1,0,0,9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,3,15
37,st47,Virginia,15,0,4,0,1,5,0,0,0,0,0,0,1,0,0,2,2,5,1,1,2,3,0,0,0,0,0,1,9,1,1,0,0,0,12,2,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,2,4,15
