,senator,religion,state,party,assumed_office,term_up,abbrev,population,gender,race
62,Catherine Cortez Masto,Catholic,Nevada,Democratic,"January 3, 2017",2022,NV,3104614,Female,Hispanic or Latino
63,Dick Durbin,Catholic,Illinois,Democratic,"January 3, 1997",2026,IL,12812508,Male,White
64,Kirsten Gillibrand,Catholic,New York,Democratic,"January 26, 2009",2024,NY,20201249,Female,White
65,John Hoeven,Catholic,North Dakota,Republican,"January 3, 2011",2022,ND,779094,Male,White
66,Tim Kaine,Catholic,Virginia,Democratic,"January 3, 2013",2024,VA,8631393,Male,White
67,Mark Kelly,Catholic,Arizona,Democratic,"December 2, 2020",2022,AZ,7151502,Male,White
68,Patrick Leahy,Catholic,Vermont,Democratic,"January 3, 1975",2022,VT,643077,Male,White
69,Ben Ray Luján,Catholic,New Mexico,Democratic,"January 3, 2021",2026,NM,2117522,Male,Hispanic or Latino
70,Joe Manchin,Catholic,West Virginia,Democratic,"November 15, 2010",2024,WV,1793716,Male,White
71,Ed Markey,Catholic,Massachusetts,Democratic,"July 16, 2013",2026,MA,7029917,Male,White
72,Bob Menendez,Catholic,New Jersey,Democratic,"January 17, 2006",2024,NJ,9288994,Male,Hispanic or Latino
73,Lisa Murkowski,Catholic,Alaska,Republican,"December 20, 2002",2022,AK,733391,Female,White
74,Patty Murray,Catholic,Washington,Democratic,"January 3, 1993",2022,WA,7705281,Female,White
75,Alex Padilla,Catholic,California,Democratic,"January 20, 2021",2022,CA,39538223,Male,Hispanic or Latino
76,Jack Reed,Catholic,Rhode Island,Democratic,"January 3, 1997",2026,RI,1097379,Male,White
77,Jim Risch,Catholic,Idaho,Republican,"January 3, 2009",2026,ID,1839106,Male,White
78,Mike Rounds,Catholic,South Dakota,Republican,"January 3, 2015",2026,SD,886667,Male,White
79,Marco Rubio,Catholic,Florida,Republican,"January 3, 2011",2022,FL,21538187,Male,Hispanic or Latino
80,Dan Sullivan,Catholic,Alaska,Republican,"January 3, 2015",2026,AK,733391,Male,White
81,Thom Tillis,Catholic,North Carolina,Republican,"January 3, 2015",2026,NC,10439388,Male,White
82,Pat Toomey,Catholic,Pennsylvania,Republican,"January 3, 2011",2022,PA,13002700,Male,White
83,Mike Crapo,Latter-day Saint,Idaho,Republican,"January 3, 1999",2022,ID,1839106,Male,White
84,Mike Lee,Latter-day Saint,Utah,Republican,"January 3, 2011",2022,UT,3271616,Male,White
85,Mitt Romney,Latter-day Saint,Utah,Republican,"January 3, 2019",2024,UT,3271616,Male,White
86,Richard Blumenthal,Jewish,Connecticut,Democratic,"January 3, 2011",2022,CT,3605944,Male,White
87,Jon Ossoff,Jewish,Georgia,Democratic,"January 20, 2021",2026,GA,10711908,Male,White
88,Ben Cardin,Jewish,Maryland,Democratic,"January 3, 2007",2024,MD,6177224,Male,White
89,Dianne Feinstein,Jewish,California,Democratic,"November 10, 1992",2024,CA,39538223,Female,White
90,Bernie Sanders,Jewish,Vermont,Independent,"January 3, 2007",2024,VT,643077,Male,White
91,Jacky Rosen,Jewish,Nevada,Democratic,"January 3, 2019",2024,NV,3104614,Female,White
92,Brian Schatz,Jewish,Hawaii,Democratic,"December 26, 2012",2022,HI,1455271,Male,White
93,Chuck Schumer,Jewish,New York,Democratic,"January 3, 1999",2022,NY,20201249,Male,White
94,Ron Wyden,Jewish,Oregon,Democratic,"February 5, 1996",2022,OR,4237256,Male,White
95,Mazie Hirono,Buddhist,Hawaii,Democratic,"January 3, 2013",2024,HI,1455271,Female,Asian American
96,Tammy Baldwin,Unknown,Wisconsin,Democratic,"January 3, 2013",2024,WI,5893718,Female,White
97,Michael Bennet,Unknown,Colorado,Democratic,"January 21, 2009",2022,CO,5773714,Male,White
98,Tammy Duckworth,Unknown,Illinois,Democratic,"January 3, 2017",2022,IL,12812508,Female,Asian American
99,Kyrsten Sinema,Unaffiliated,Arizona,Democratic,"January 3, 2019",2024,AZ,7151502,Female,White
