State,Senator,Party,Born,Assumed office,Term up,Population
Kentucky,Mitch McConnell,Republican,(age 78),"January 3, 1985",2026,4467673
Kentucky,Rand Paul,Republican,(age 58),"January 3, 2011",2022,4467673
Louisiana,Bill Cassidy,Republican,(age 63),"January 3, 2015",2026,4648794
Louisiana,John Kennedy,Republican,(age 69),"January 3, 2017",2022,4648794
Maine,Susan Collins,Republican,(age 68),"January 3, 1997",2026,1344212
Maine,Angus King,Independent,(age 76),"January 3, 2013",2024,1344212
Maryland,Ben Cardin,Democratic,(age 77),"January 3, 2007",2024,6045680
Maryland,Chris Van Hollen,Democratic,(age 62),"January 3, 2017",2022,6045680
Massachusetts,Elizabeth Warren,Democratic,(age 71),"January 3, 2013",2024,6892503
Massachusetts,Ed Markey,Democratic,(age 74),"July 16, 2013[m]",2026,6892503
Michigan,Debbie Stabenow,Democratic,(age 70),"January 3, 2001",2024,9986857
Michigan,Gary Peters,Democratic,(age 62),"January 3, 2015",2026,9986857
Minnesota,Amy Klobuchar,Democratic,(age 60),"January 3, 2007",2024,5639632
Minnesota,Tina Smith,Democratic,(age 62),"January 3, 2018[n]",2026,5639632
Mississippi,Roger Wicker,Republican,(age 69),"December 31, 2007[o]",2024,2976149
Mississippi,Cindy Hyde-Smith,Republican,(age 61),"April 9, 2018[p]",2026,2976149
Missouri,Roy Blunt,Republican,(age 71),"January 3, 2011",2022,6137428
Missouri,Josh Hawley,Republican,(age 41),"January 3, 2019",2024,6137428
Montana,Jon Tester,Democratic,(age 64),"January 3, 2007",2024,1068778
Montana,Steve Daines,Republican,(age 58),"January 3, 2015",2026,1068778
Nebraska,Deb Fischer,Republican,(age 69),"January 3, 2013",2024,1934408
Nebraska,Ben Sasse,Republican,(age 48),"January 3, 2015",2026,1934408
Nevada,Catherine Cortez Masto,Democratic,(age 56),"January 3, 2017",2022,3080156
Nevada,Jacky Rosen,Democratic,(age 63),"January 3, 2019",2024,3080156
New Hampshire,Jeanne Shaheen,Democratic,(age 73),"January 3, 2009",2026,1359711
New Hampshire,Maggie Hassan,Democratic,(age 62),"January 3, 2017",2022,1359711
New Jersey,Bob Menendez,Democratic,(age 67),"January 17, 2006[q]",2024,8882190
New Jersey,Cory Booker,Democratic,(age 51),"October 31, 2013[r]",2026,8882190
New Mexico,Martin Heinrich,Democratic,(age 49),"January 3, 2013",2024,2096829
New Mexico,Ben Ray Luján,Democratic,(age 48),"January 3, 2021",2026,2096829
New York,Chuck Schumer,Democratic,(age 70),"January 3, 1999",2022,19453561
New York,Kirsten Gillibrand,Democratic,(age 54),"January 26, 2009[s]",2024,19453561
North Carolina,Richard Burr,Republican,(age 65),"January 3, 2005",2022,10488084
North Carolina,Thom Tillis,Republican,(age 60),"January 3, 2015",2026,10488084
North Dakota,John Hoeven,Republican,(age 63),"January 3, 2011",2022,762062
North Dakota,Kevin Cramer,Republican,(age 60),"January 3, 2019",2024,762062
Ohio,Sherrod Brown,Democratic,(age 68),"January 3, 2007",2024,11689100
Ohio,Rob Portman,Republican,(age 65),"January 3, 2011",2022,11689100
Oklahoma,Jim Inhofe,Republican,(age 86),"November 16, 1994[t]",2026,3956971
Oklahoma,James Lankford,Republican,(age 52),"January 3, 2015[u]",2022,3956971
Oregon,Ron Wyden,Democratic,(age 71),"February 5, 1996[v]",2022,4217737
Oregon,Jeff Merkley,Democratic,(age 64),"January 3, 2009",2026,4217737
Pennsylvania,Bob Casey Jr.,Democratic,(age 60),"January 3, 2007",2024,12801989
Pennsylvania,Pat Toomey,Republican,(age 59),"January 3, 2011",2022,12801989
Rhode Island,Jack Reed,Democratic,(age 71),"January 3, 1997",2026,1059361
Rhode Island,Sheldon Whitehouse,Democratic,(age 65),"January 3, 2007",2024,1059361
South Carolina,Lindsey Graham,Republican,(age 65),"January 3, 2003",2026,5148714
South Carolina,Tim Scott,Republican,(age 55),"January 3, 2013[w]",2022,5148714
South Dakota,John Thune,Republican,(age 60),"January 3, 2005",2022,884659
South Dakota,Mike Rounds,Republican,(age 66),"January 3, 2015",2026,884659
Tennessee,Marsha Blackburn,Republican,(age 68),"January 3, 2019",2024,6829174
Tennessee,Bill Hagerty,Republican,(age 61),"January 3, 2021",2026,6829174
Texas,John Cornyn,Republican,(age 68),"December 2, 2002",2026,28995881
Texas,Ted Cruz,Republican,(age 50),"January 3, 2013",2024,28995881
Utah,Mike Lee,Republican,(age 49),"January 3, 2011",2022,3205958
Utah,Mitt Romney,Republican,(age 73),"January 3, 2019",2024,3205958
Vermont,Patrick Leahy,Democratic,(age 80),"January 3, 1975",2022,623989
Vermont,Bernie Sanders,Independent,(age 79),"January 3, 2007",2024,623989
Virginia,Mark Warner,Democratic,(age 66),"January 3, 2009",2026,8535519
Virginia,Tim Kaine,Democratic,(age 62),"January 3, 2013",2024,8535519
Washington,Patty Murray,Democratic,(age 70),"January 3, 1993",2022,7614893
Washington,Maria Cantwell,Democratic,(age 62),"January 3, 2001",2024,7614893
West Virginia,Joe Manchin,Democratic,(age 73),"November 15, 2010[x]",2024,1792147
West Virginia,Shelley Moore Capito,Republican,(age 67),"January 3, 2015",2026,1792147
Wisconsin,Ron Johnson,Republican,(age 65),"January 3, 2011",2022,5822434
Wisconsin,Tammy Baldwin,Democratic,(age 58),"January 3, 2013",2024,5822434
Wyoming,John Barrasso,Republican,(age 68),"June 25, 2007[y]",2024,578759
Wyoming,Cynthia Lummis,Republican,(age 66),"January 3, 2021",2026,578759
