Christian,,,85
,Protestant,,58
,,Baptist,11
,,Methodist,6
,,Anglican/Episcopal,6
,,Presbyterian,12
,,Lutheran,7
,,Congreationalist,2
,,Nondenom. Protestant,2
,,Pentecostal,0
,,Restorationist,1
,,Adventist,0
,,Reformed,0
,,Pietist,0
,,Unspecified/other,11
,Catholic,,24
,Mormon,,3
,Orthodox Christian,,0
Jewish,,,8
Buddhist,,,1
Muslim,,,0
Hindu,,,0
Unitarian Universalist,,,0
Unaffiliated,,,1
Other,,,0
Don't know/refused,,,3
