,State,Senator,Party.1,Born,Assumed office,Term up,POPESTIMATE2019
75,Pennsylvania,Pat Toomey,Republican,(age 59),"January 3, 2011",2022,12801989
76,Rhode Island,Jack Reed,Democratic,(age 71),"January 3, 1997",2026,1059361
77,Rhode Island,Sheldon Whitehouse,Democratic,(age 65),"January 3, 2007",2024,1059361
78,South Carolina,Lindsey Graham,Republican,(age 65),"January 3, 2003",2026,5148714
79,South Carolina,Tim Scott,Republican,(age 55),"January 3, 2013[v]",2022,5148714
80,South Dakota,John Thune,Republican,(age 60),"January 3, 2005",2022,884659
81,South Dakota,Mike Rounds,Republican,(age 66),"January 3, 2015",2026,884659
82,Tennessee,Marsha Blackburn,Republican,(age 68),"January 3, 2019",2024,6829174
83,Tennessee,Bill Hagerty,Republican,(age 61),"January 3, 2021",2026,6829174
84,Texas,John Cornyn,Republican,(age 68),"December 2, 2002",2026,28995881
85,Texas,Ted Cruz,Republican,(age 50),"January 3, 2013",2024,28995881
86,Utah,Mike Lee,Republican,(age 49),"January 3, 2011",2022,3205958
87,Utah,Mitt Romney,Republican,(age 73),"January 3, 2019",2024,3205958
88,Vermont,Patrick Leahy,Democratic,(age 80),"January 3, 1975",2022,623989
89,Vermont,Bernie Sanders,Independent[a],(age 79),"January 3, 2007",2024,623989
90,Virginia,Mark Warner,Democratic,(age 66),"January 3, 2009",2026,8535519
91,Virginia,Tim Kaine,Democratic,(age 62),"January 3, 2013",2024,8535519
92,Washington,Patty Murray,Democratic,(age 70),"January 3, 1993",2022,7614893
93,Washington,Maria Cantwell,Democratic,(age 62),"January 3, 2001",2024,7614893
94,West Virginia,Joe Manchin,Democratic,(age 73),"November 15, 2010[w]",2024,1792147
95,West Virginia,Shelley Moore Capito,Republican,(age 67),"January 3, 2015",2026,1792147
96,Wisconsin,Ron Johnson,Republican,(age 65),"January 3, 2011",2022,5822434
97,Wisconsin,Tammy Baldwin,Democratic,(age 58),"January 3, 2013",2024,5822434
98,Wyoming,John Barrasso,Republican,(age 68),"June 25, 2007[x]",2024,578759
99,Wyoming,Cynthia Lummis,Republican,(age 66),"January 3, 2021",2026,578759
